time	V(vin)	V(vout)
2.644042968749996e-003	3.971354e-002	9.299216e-001
2.653808593749996e-003	-2.539063e-002	9.073550e-001
2.663574218749996e-003	-9.049479e-002	8.765744e-001
2.673339843749996e-003	-1.555990e-001	8.380610e-001
2.683105468749995e-003	-2.207031e-001	7.922943e-001
2.692871093749995e-003	-2.858073e-001	7.397456e-001
2.697753906249995e-003	-3.183594e-001	7.110720e-001
2.702636718749995e-003	-3.509115e-001	6.808738e-001
2.707519531249995e-003	-3.834635e-001	6.492057e-001
2.712402343749995e-003	-4.160156e-001	6.161214e-001
2.717285156249995e-003	-4.485677e-001	5.816733e-001
2.722167968749994e-003	-4.811198e-001	5.459125e-001
2.727050781249994e-003	-5.136719e-001	5.088887e-001
2.731933593749994e-003	-5.462239e-001	4.706506e-001
2.736816406249994e-003	-5.787761e-001	4.312451e-001
2.741699218749994e-003	-6.113281e-001	3.907180e-001
2.746582031249994e-003	-6.438802e-001	3.491137e-001
2.751464843749994e-003	-6.764323e-001	3.064752e-001
2.761230468749994e-003	-7.415364e-001	2.182610e-001
2.766113281249994e-003	-7.740886e-001	1.727644e-001
2.770996093749993e-003	-8.066406e-001	1.263922e-001
2.775878906249993e-003	-8.391927e-001	7.918075e-002
2.780761718749993e-003	-8.717448e-001	3.116499e-002
2.785644531249993e-003	-9.042969e-001	-1.762122e-002
2.790527343749993e-003	-9.368489e-001	-6.714532e-002
2.800000000000000e-003	-1.000000e+000	-1.650480e-001
2.801464843750000e-003	-9.902344e-001	-1.804455e-001
2.803417968749999e-003	-9.772136e-001	-2.010336e-001
2.807324218749999e-003	-9.511719e-001	-2.422500e-001
2.812207031249999e-003	-9.186198e-001	-2.936108e-001
2.817089843749999e-003	-8.860677e-001	-3.444820e-001
2.821972656249999e-003	-8.535156e-001	-3.944989e-001
2.826855468749999e-003	-8.209636e-001	-4.433388e-001
2.831738281249998e-003	-7.884114e-001	-4.907221e-001
2.836621093749998e-003	-7.558594e-001	-5.364088e-001
2.841503906249998e-003	-7.233073e-001	-5.801935e-001
